accession,entry_name,protein_names,gene_names
Q8NF50,DOCK8_HUMAN,Dedicator of cytokinesis protein 8,DOCK8
Q8NF91,SYNE1_HUMAN,Nesprin-1 (Enaptin) (KASH domain-containing protein 1) (KASH1) (Myocyte nuclear envelope protein 1) (Myne-1) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1) (Syne-1),SYNE1 C6orf98 KIAA0796 KIAA1262 KIAA1756 MYNE1
Q8NFH4,NUP37_HUMAN,Nucleoporin Nup37 (p37) (Nup107-160 subcomplex subunit Nup37),NUP37
Q8NFQ8,TOIP2_HUMAN,Torsin-1A-interacting protein 2 (Lumenal domain-like LAP1),TOR1AIP2 IFRG15 LULL1
Q8NHH9,ATLA2_HUMAN,Atlastin-2 (EC 3.6.5.-) (ADP-ribosylation factor-like protein 6-interacting protein 2) (ARL-6-interacting protein 2) (Aip-2),ATL2 ARL6IP2
Q8NHL6,LIRB1_HUMAN,Leukocyte immunoglobulin-like receptor subfamily B member 1 (LIR-1) (Leukocyte immunoglobulin-like receptor 1) (CD85 antigen-like family member J) (Immunoglobulin-like transcript 2) (ILT-2) (Monocyte/macrophage immunoglobulin-like receptor 7) (MIR-7) (CD antigen CD85j),LILRB1 ILT2 LIR1 MIR7
Q8NHP6,MSPD2_HUMAN,Motile sperm domain-containing protein 2,MOSPD2
Q8NHP8,PLBL2_HUMAN,Putative phospholipase B-like 2 (EC 3.1.1.-) (76 kDa protein) (p76) (LAMA-like protein 2) (Lamina ancestor homolog 2) (Phospholipase B domain-containing protein 2) [Cleaved into: Putative phospholipase B-like 2 32 kDa form; Putative phospholipase B-like 2 45 kDa form],PLBD2
Q8NHQ9,DDX55_HUMAN,ATP-dependent RNA helicase DDX55 (EC 3.6.4.13) (DEAD box protein 55),DDX55 KIAA1595
Q8NI27,THOC2_HUMAN,THO complex subunit 2 (Tho2) (hTREX120),THOC2 CXorf3
Q8NI36,WDR36_HUMAN,WD repeat-containing protein 36 (T-cell activation WD repeat-containing protein) (TA-WDRP),WDR36
Q8TAQ2,SMRC2_HUMAN,SWI/SNF complex subunit SMARCC2 (BRG1-associated factor 170) (BAF170) (SWI/SNF complex 170 kDa subunit) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 2),SMARCC2 BAF170
Q8TB24,RIN3_HUMAN,Ras and Rab interactor 3 (Ras interaction/interference protein 3),RIN3
Q8TBC4,UBA3_HUMAN,NEDD8-activating enzyme E1 catalytic subunit (EC 6.2.1.64) (NEDD8-activating enzyme E1C) (Ubiquitin-activating enzyme E1C) (Ubiquitin-like modifier-activating enzyme 3) (Ubiquitin-activating enzyme 3),UBA3 UBE1C
Q8TBP6,S2540_HUMAN,Probable mitochondrial glutathione transporter SLC25A40 (Mitochondrial carrier family protein) (Solute carrier family 25 member 40),SLC25A40 MCFP
Q8TBQ9,KISHA_HUMAN,Protein kish-A (Transmembrane protein 167) (Transmembrane protein 167A),TMEM167A TMEM167
Q8TC07,TBC15_HUMAN,TBC1 domain family member 15 (GTPase-activating protein RAB7) (GAP for RAB7) (Rab7-GAP),TBC1D15
Q8TC12,RDH11_HUMAN,Retinol dehydrogenase 11 (EC 1.1.1.300) (Androgen-regulated short-chain dehydrogenase/reductase 1) (HCV core-binding protein HCBP12) (Prostate short-chain dehydrogenase/reductase 1) (Retinal reductase 1) (RalR1) (Short chain dehydrogenase/reductase family 7C member 1),RDH11 ARSDR1 PSDR1 SDR7C1 CGI-82
Q8TCD5,NT5C_HUMAN,"5'(3')-deoxyribonucleotidase, cytosolic type (EC 3.1.3.-) (Cytosolic 5',3'-pyrimidine nucleotidase) (Deoxy-5'-nucleotidase 1) (dNT-1)",NT5C DNT1 UMPH2
Q8TCE6,DEN10_HUMAN,DENN domain-containing protein 10 (Protein FAM45A),DENND10 FAM45A
Q8TCJ2,STT3B_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B (Oligosaccharyl transferase subunit STT3B) (STT3-B) (EC 2.4.99.18) (Source of immunodominant MHC-associated peptides homolog),STT3B SIMP
Q8TCT9,HM13_HUMAN,Minor histocompatibility antigen H13 (EC 3.4.23.-) (Intramembrane protease 1) (IMP-1) (IMPAS-1) (hIMP1) (Presenilin-like protein 3) (Signal peptide peptidase),HM13 H13 IMP1 PSL3 SPP MSTP086
Q8TCU6,PREX1_HUMAN,"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein (P-Rex1) (PtdIns(3,4,5)-dependent Rac exchanger 1)",PREX1 KIAA1415
Q8TD55,PKHO2_HUMAN,Pleckstrin homology domain-containing family O member 2 (PH domain-containing family O member 2) (Pleckstrin homology domain-containing family Q member 1) (PH domain-containing family Q member 1),PLEKHO2 PLEKHQ1 PP9099
Q8TD57,DYH3_HUMAN,Dynein axonemal heavy chain 3 (Axonemal beta dynein heavy chain 3) (HsADHC3) (Ciliary dynein heavy chain 3) (Dnahc3-b),DNAH3 DNAHC3B
Q8TDB6,DTX3L_HUMAN,E3 ubiquitin-protein ligase DTX3L (EC 2.3.2.27) (B-lymphoma- and BAL-associated protein) (Protein deltex-3-like) (RING-type E3 ubiquitin transferase DTX3L) (Rhysin-2) (Rhysin2),DTX3L BBAP
Q8TDF6,GRP4_HUMAN,RAS guanyl-releasing protein 4,RASGRP4
Q8TDJ6,DMXL2_HUMAN,DmX-like protein 2 (Rabconnectin-3),DMXL2 KIAA0856
Q8TDP1,RNH2C_HUMAN,Ribonuclease H2 subunit C (RNase H2 subunit C) (Aicardi-Goutieres syndrome 3 protein) (AGS3) (RNase H1 small subunit) (Ribonuclease HI subunit C),RNASEH2C AYP1
Q8TDW0,LRC8C_HUMAN,Volume-regulated anion channel subunit LRRC8C (Factor for adipocyte differentiation 158) (Leucine-rich repeat-containing protein 8C),LRRC8C AD158 FAD158
Q8TDX7,NEK7_HUMAN,Serine/threonine-protein kinase Nek7 (EC 2.7.11.1) (Never in mitosis A-related kinase 7) (NimA-related protein kinase 7),NEK7
Q8TDZ2,MICA1_HUMAN,[F-actin]-monooxygenase MICAL1 (EC 1.14.13.225) (EC 1.6.3.1) (Molecule interacting with CasL protein 1) (MICAL-1) (NEDD9-interacting protein with calponin homology and LIM domains),MICAL1 MICAL NICAL
Q8TE02,ELP5_HUMAN,Elongator complex protein 5 (Dermal papilla-derived protein 6) (S-phase 2 protein),ELP5 C17orf81 DERP6 HSPC002 MSTP071
Q8TEM1,PO210_HUMAN,Nuclear pore membrane glycoprotein 210 (Nuclear pore protein gp210) (Nuclear envelope pore membrane protein POM 210) (POM210) (Nucleoporin Nup210) (Pore membrane protein of 210 kDa),NUP210 KIAA0906 PSEC0245
Q8TEX9,IPO4_HUMAN,Importin-4 (Imp4) (Importin-4b) (Imp4b) (Ran-binding protein 4) (RanBP4),IPO4 IMP4B RANBP4
Q8TF05,PP4R1_HUMAN,Serine/threonine-protein phosphatase 4 regulatory subunit 1,PPP4R1 MEG1 PP4R1
Q8TF42,UBS3B_HUMAN,Ubiquitin-associated and SH3 domain-containing protein B (EC 3.1.3.48) (Cbl-interacting protein p70) (Suppressor of T-cell receptor signaling 1) (STS-1) (T-cell ubiquitin ligand 2) (TULA-2) (Tyrosine-protein phosphatase STS1/TULA2),UBASH3B KIAA1959 STS1
Q8WTW3,COG1_HUMAN,Conserved oligomeric Golgi complex subunit 1 (COG complex subunit 1) (Component of oligomeric Golgi complex 1),COG1 KIAA1381 LDLB
Q8WTW4,NPRL2_HUMAN,GATOR complex protein NPRL2 (Gene 21 protein) (G21 protein) (Nitrogen permease regulator 2-like protein) (NPR2-like protein) (Tumor suppressor candidate 4),NPRL2 TUSC4
Q8WU79,SMAP2_HUMAN,Stromal membrane-associated protein 2 (Stromal membrane-associated protein 1-like),SMAP2 SMAP1L
Q8WU90,ZC3HF_HUMAN,Zinc finger CCCH domain-containing protein 15 (DRG family-regulatory protein 1) (Likely ortholog of mouse immediate early response erythropoietin 4),ZC3H15 DFRP1 LEREPO4 HSPC303 HT010 MSTP012 PP730
Q8WUA2,PPIL4_HUMAN,Peptidyl-prolyl cis-trans isomerase-like 4 (PPIase) (EC 5.2.1.8) (Cyclophilin-like protein PPIL4) (Rotamase PPIL4),PPIL4
Q8WUA4,TF3C2_HUMAN,General transcription factor 3C polypeptide 2 (TF3C-beta) (Transcription factor IIIC 110 kDa subunit) (TFIIIC 110 kDa subunit) (TFIIIC110) (Transcription factor IIIC subunit beta),GTF3C2 KIAA0011
Q8WUH2,TGFA1_HUMAN,Transforming growth factor-beta receptor-associated protein 1 (TGF-beta receptor-associated protein 1) (TRAP-1) (TRAP1),TGFBRAP1
Q8WUM0,NU133_HUMAN,Nuclear pore complex protein Nup133 (133 kDa nucleoporin) (Nucleoporin Nup133),NUP133
Q8WUM4,PDC6I_HUMAN,Programmed cell death 6-interacting protein (PDCD6-interacting protein) (ALG-2-interacting protein 1) (ALG-2-interacting protein X) (Hp95),PDCD6IP AIP1 ALIX KIAA1375
Q8WUX9,CHMP7_HUMAN,Charged multivesicular body protein 7 (Chromatin-modifying protein 7),CHMP7
Q8WVC6,DCAKD_HUMAN,Dephospho-CoA kinase domain-containing protein,DCAKD
Q8WVM7,STAG1_HUMAN,Cohesin subunit SA-1 (SCC3 homolog 1) (Stromal antigen 1),STAG1 SA1 SCC3
Q8WVM8,SCFD1_HUMAN,Sec1 family domain-containing protein 1 (SLY1 homolog) (Sly1p) (Syntaxin-binding protein 1-like 2),SCFD1 C14orf163 KIAA0917 STXBP1L2 FKSG23
Q8WVV9,HNRLL_HUMAN,Heterogeneous nuclear ribonucleoprotein L-like (hnRNPLL) (Stromal RNA-regulating factor),HNRNPLL HNRPLL SRRF BLOCK24
Q8WVY7,UBCP1_HUMAN,Ubiquitin-like domain-containing CTD phosphatase 1 (EC 3.1.3.16) (Nuclear proteasome inhibitor UBLCP1),UBLCP1
Q8WVZ9,KBTB7_HUMAN,Kelch repeat and BTB domain-containing protein 7,KBTBD7
Q8WW12,PCNP_HUMAN,PEST proteolytic signal-containing nuclear protein (PCNP) (PEST-containing nuclear protein),PCNP
Q8WW59,SPRY4_HUMAN,SPRY domain-containing protein 4,SPRYD4
Q8WWI5,CTL1_HUMAN,Choline transporter-like protein 1 (CDw92) (Solute carrier family 44 member 1) (CD antigen CD92),SLC44A1 CD92 CDW92 CTL1
Q8WWP7,GIMA1_HUMAN,GTPase IMAP family member 1 (Immunity-associated protein 1) (hIMAP1),GIMAP1 IMAP1
Q8WWW0,RASF5_HUMAN,Ras association domain-containing protein 5 (New ras effector 1) (Regulator for cell adhesion and polarization enriched in lymphoid tissues) (RAPL),RASSF5 NORE1 RAPL
Q8WWY3,PRP31_HUMAN,U4/U6 small nuclear ribonucleoprotein Prp31 (Pre-mRNA-processing factor 31) (Serologically defined breast cancer antigen NY-BR-99) (U4/U6 snRNP 61 kDa protein) (Protein 61K) (hPrp31),PRPF31 PRP31
Q8WXF1,PSPC1_HUMAN,Paraspeckle component 1 (Paraspeckle protein 1),PSPC1 PSP1
Q8WY22,BRI3B_HUMAN,BRI3-binding protein (I3-binding protein) (Cervical cancer 1 proto-oncogene-binding protein KG19) (HCCRBP-1),BRI3BP KG19
Q8WYA6,CTBL1_HUMAN,Beta-catenin-like protein 1 (Nuclear-associated protein) (NAP) (Testis development protein NYD-SP19),CTNNBL1 C20orf33 PP8304
Q8WZA0,LZIC_HUMAN,Protein LZIC (Leucine zipper and CTNNBIP1 domain-containing protein) (Leucine zipper and ICAT homologous domain-containing protein),LZIC
Q92499,DDX1_HUMAN,ATP-dependent RNA helicase DDX1 (EC 3.6.4.13) (DEAD box protein 1) (DEAD box protein retinoblastoma) (DBP-RB),DDX1
Q92504,S39A7_HUMAN,"Zinc transporter SLC39A7 (Histidine-rich membrane protein Ke4) (Really interesting new gene 5 protein) (Solute carrier family 39 member 7) (Zrt-, Irt-like protein 7) (ZIP7)",SLC39A7 HKE4 RING5
Q92520,FAM3C_HUMAN,Protein FAM3C (Interleukin-like EMT inducer),FAM3C ILEI GS3786
Q92522,H1X_HUMAN,Histone H1.10 (Histone H1x),H1-10 H1FX
Q92530,PSMF1_HUMAN,Proteasome inhibitor PI31 subunit (hPI31),PSMF1
Q92538,GBF1_HUMAN,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 (BFA-resistant GEF 1),GBF1 KIAA0248
Q92542,NICA_HUMAN,Nicastrin,NCSTN KIAA0253 UNQ1874/PRO4317
Q92552,RT27_HUMAN,"28S ribosomal protein S27, mitochondrial (MRP-S27) (S27mt) (Mitochondrial ribosomal protein S27) (Mitochondrial small ribosomal subunit protein mS27)",MRPS27 KIAA0264
Q92556,ELMO1_HUMAN,Engulfment and cell motility protein 1 (Protein ced-12 homolog),ELMO1 KIAA0281
Q92575,UBXN4_HUMAN,UBX domain-containing protein 4 (Erasin) (UBX domain-containing protein 2),UBXN4 KIAA0242 UBXD2 UBXDC1
Q92598,HS105_HUMAN,Heat shock protein 105 kDa (Antigen NY-CO-25) (Heat shock 110 kDa protein),HSPH1 HSP105 HSP110 KIAA0201
Q92600,CNOT9_HUMAN,CCR4-NOT transcription complex subunit 9 (Cell differentiation protein RQCD1 homolog) (Rcd-1),CNOT9 RCD1 RQCD1
Q92604,LGAT1_HUMAN,Acyl-CoA:lysophosphatidylglycerol acyltransferase 1 (2-acylglycerophosphocholine O-acyltransferase) (EC 2.3.1.62) (Acyl-CoA:monoacylglycerol acyltransferase LPGAT1) (EC 2.3.1.22) (Lysophospholipid acyltransferase 7) (LPLAT7) (EC 2.3.1.-) (Stearoyl-CoA:1-lyso-2-acyl-PE acyltransferase),LPGAT1 FAM34A KIAA0205
Q92608,DOCK2_HUMAN,Dedicator of cytokinesis protein 2,DOCK2 KIAA0209
Q92614,MY18A_HUMAN,Unconventional myosin-XVIIIa (Molecule associated with JAK3 N-terminus) (MAJN) (Myosin containing a PDZ domain) (Surfactant protein receptor SP-R210) (SP-R210),MYO18A CD245 KIAA0216 MYSPDZ TIAF1
Q92616,GCN1_HUMAN,eIF-2-alpha kinase activator GCN1 (GCN1 eIF-2-alpha kinase activator homolog) (GCN1-like protein 1) (General control of amino-acid synthesis 1-like protein 1) (Translational activator GCN1) (HsGCN1),GCN1 GCN1L1 KIAA0219
Q92619,HMHA1_HUMAN,Rho GTPase-activating protein 45 [Cleaved into: Minor histocompatibility antigen HA-1 (mHag HA-1)],ARHGAP45 HMHA1 KIAA0223
Q92620,PRP16_HUMAN,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 (EC 3.6.4.13) (ATP-dependent RNA helicase DHX38) (DEAH box protein 38),DHX38 DDX38 KIAA0224 PRP16
Q92621,NU205_HUMAN,Nuclear pore complex protein Nup205 (205 kDa nucleoporin) (Nucleoporin Nup205),NUP205 C7orf14 KIAA0225
Q92643,GPI8_HUMAN,GPI-anchor transamidase (GPI transamidase) (EC 3.-.-.-) (GPI8 homolog) (hGPI8) (Phosphatidylinositol-glycan biosynthesis class K protein) (PIG-K),PIGK GPI8
Q92667,AKAP1_HUMAN,"A-kinase anchor protein 1, mitochondrial (A-kinase anchor protein 149 kDa) (AKAP 149) (Dual specificity A-kinase-anchoring protein 1) (D-AKAP-1) (Protein kinase A-anchoring protein 1) (PRKA1) (Spermatid A-kinase anchor protein 84) (S-AKAP84)",AKAP1 AKAP149 PRKA1
Q92685,ALG3_HUMAN,"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Asparagine-linked glycosylation protein 3 homolog) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase) (Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase) (Dolichyl-phosphate-mannose--glycolipid alpha-mannosyltransferase) (Not56-like protein)",ALG3 NOT NOT56L
Q92688,AN32B_HUMAN,Acidic leucine-rich nuclear phosphoprotein 32 family member B (Acidic protein rich in leucines) (Putative HLA-DR-associated protein I-2) (PHAPI2) (Silver-stainable protein SSP29),ANP32B APRIL PHAPI2
Q92696,PGTA_HUMAN,Geranylgeranyl transferase type-2 subunit alpha (EC 2.5.1.60) (Geranylgeranyl transferase type II subunit alpha) (Rab geranyl-geranyltransferase subunit alpha) (Rab GG transferase alpha) (Rab GGTase alpha) (Rab geranylgeranyltransferase subunit alpha),RABGGTA
Q92769,HDAC2_HUMAN,Histone deacetylase 2 (HD2) (EC 3.5.1.98) (Protein deacylase HDAC2) (EC 3.5.1.-),HDAC2
Q92797,SYMPK_HUMAN,Symplekin,SYMPK SPK
Q92804,RBP56_HUMAN,TATA-binding protein-associated factor 2N (68 kDa TATA-binding protein-associated factor) (TAF(II)68) (TAFII68) (RNA-binding protein 56),TAF15 RBP56 TAF2N
Q92820,GGH_HUMAN,Gamma-glutamyl hydrolase (EC 3.4.19.9) (Conjugase) (GH) (Gamma-Glu-X carboxypeptidase),GGH
Q92835,SHIP1_HUMAN,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1 (EC 3.1.3.86) (Inositol polyphosphate-5-phosphatase D) (EC 3.1.3.56) (Inositol polyphosphate-5-phosphatase of 145 kDa) (SIP-145) (Phosphatidylinositol 4,5-bisphosphate 5-phosphatase) (EC 3.1.3.36) (SH2 domain-containing inositol 5'-phosphatase 1) (SH2 domain-containing inositol phosphatase 1) (SHIP-1) (p150Ship) (hp51CN)",INPP5D SHIP SHIP1
Q92841,DDX17_HUMAN,Probable ATP-dependent RNA helicase DDX17 (EC 3.6.4.13) (DEAD box protein 17) (DEAD box protein p72) (DEAD box protein p82) (RNA-dependent helicase p72),DDX17
Q92878,RAD50_HUMAN,DNA repair protein RAD50 (hRAD50) (EC 3.6.-.-),RAD50
Q92882,OSTF1_HUMAN,Osteoclast-stimulating factor 1,OSTF1
Q92888,ARHG1_HUMAN,Rho guanine nucleotide exchange factor 1 (115 kDa guanine nucleotide exchange factor) (p115-RhoGEF) (p115RhoGEF) (Sub1.5),ARHGEF1
Q92900,RENT1_HUMAN,Regulator of nonsense transcripts 1 (EC 3.6.4.12) (EC 3.6.4.13) (ATP-dependent helicase RENT1) (Nonsense mRNA reducing factor 1) (NORF1) (Up-frameshift suppressor 1 homolog) (hUpf1),UPF1 KIAA0221 RENT1
Q92905,CSN5_HUMAN,COP9 signalosome complex subunit 5 (SGN5) (Signalosome subunit 5) (EC 3.4.-.-) (Jun activation domain-binding protein 1),COPS5 CSN5 JAB1
Q92922,SMRC1_HUMAN,SWI/SNF complex subunit SMARCC1 (BRG1-associated factor 155) (BAF155) (SWI/SNF complex 155 kDa subunit) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 1),SMARCC1 BAF155
Q92925,SMRD2_HUMAN,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 (60 kDa BRG-1/Brm-associated factor subunit B) (BRG1-associated factor 60B) (BAF60B),SMARCD2 BAF60B PRO2451
Q92930,RAB8B_HUMAN,Ras-related protein Rab-8B,RAB8B
Q92945,FUBP2_HUMAN,Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein) (KSRP) (p75),KHSRP FUBP2
Q92947,GCDH_HUMAN,"Glutaryl-CoA dehydrogenase, mitochondrial (GCD) (EC 1.3.8.6)",GCDH
Q92963,RIT1_HUMAN,GTP-binding protein Rit1 (EC 3.6.5.2) (Ras-like protein expressed in many tissues) (Ras-like without CAAX protein 1),RIT1 RIBB RIT ROC1
Q92973,TNPO1_HUMAN,Transportin-1 (Importin beta-2) (Karyopherin beta-2) (M9 region interaction protein) (MIP),TNPO1 KPNB2 MIP1 TRN
Q92974,ARHG2_HUMAN,Rho guanine nucleotide exchange factor 2 (Guanine nucleotide exchange factor H1) (GEF-H1) (Microtubule-regulated Rho-GEF) (Proliferating cell nucleolar antigen p40),ARHGEF2 KIAA0651 LFP40
Q92994,TF3B_HUMAN,"Transcription factor IIIB 90 kDa subunit (TFIIIB90) (hTFIIIB90) (B-related factor 1) (BRF-1) (hBRF) (TAF3B2) (TATA box-binding protein-associated factor, RNA polymerase III, subunit 2)",BRF1 BRF GTF3B TAF3B2 TAF3C
Q93008,USP9X_HUMAN,"Probable ubiquitin carboxyl-terminal hydrolase FAF-X (EC 3.4.19.12) (Deubiquitinating enzyme FAF-X) (Fat facets in mammals) (hFAM) (Fat facets protein-related, X-linked) (Ubiquitin thioesterase FAF-X) (Ubiquitin-specific protease 9, X chromosome) (Ubiquitin-specific-processing protease FAF-X)",USP9X DFFRX FAM USP9
Q93009,UBP7_HUMAN,Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Deubiquitinating enzyme 7) (Herpesvirus-associated ubiquitin-specific protease) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7),USP7 HAUSP
Q93034,CUL5_HUMAN,Cullin-5 (CUL-5) (Vasopressin-activated calcium-mobilizing receptor 1) (VACM-1),CUL5 VACM1
Q93050,VPP1_HUMAN,V-type proton ATPase 116 kDa subunit a 1 (V-ATPase 116 kDa subunit a 1) (Clathrin-coated vesicle/synaptic vesicle proton pump 116 kDa subunit) (Vacuolar adenosine triphosphatase subunit Ac116) (Vacuolar proton pump subunit 1) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 1),ATP6V0A1 ATP6N1 ATP6N1A VPP1
Q93084,AT2A3_HUMAN,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 (SERCA3) (SR Ca(2+)-ATPase 3) (EC 7.2.2.10) (Calcium pump 3),ATP2A3
Q93100,KPBB_HUMAN,Phosphorylase b kinase regulatory subunit beta (Phosphorylase kinase subunit beta),PHKB
Q969H8,MYDGF_HUMAN,Myeloid-derived growth factor (MYDGF),MYDGF C19orf10
Q969N2,PIGT_HUMAN,GPI transamidase component PIG-T (Phosphatidylinositol-glycan biosynthesis class T protein),PIGT CGI-06 PSEC0163 UNQ716/PRO1379
Q969Q5,RAB24_HUMAN,Ras-related protein Rab-24,RAB24
Q969S9,RRF2M_HUMAN,"Ribosome-releasing factor 2, mitochondrial (RRF2mt) (Elongation factor G 2, mitochondrial) (EF-G2mt) (mEF-G 2) (Elongation factor G2) (hEFG2)",GFM2 EFG2 MSTP027
Q969T9,WBP2_HUMAN,WW domain-binding protein 2 (WBP-2),WBP2
Q969V3,NCLN_HUMAN,BOS complex subunit NCLN (Nicalin) (Nicastrin-like protein),NCLN
Q969X5,ERGI1_HUMAN,Endoplasmic reticulum-Golgi intermediate compartment protein 1 (ER-Golgi intermediate compartment 32 kDa protein) (ERGIC-32),ERGIC1 ERGIC32 KIAA1181 HT034
Q96A08,H2B1A_HUMAN,"Histone H2B type 1-A (Histone H2B, testis) (TSH2B.1) (hTSH2B) (Testis-specific histone H2B)",H2BC1 HIST1H2BA TSH2B
Q96A26,F162A_HUMAN,Protein FAM162A (E2-induced gene 5 protein) (Growth and transformation-dependent protein) (HGTD-P),FAM162A C3orf28 E2IG5 DC16 FWP001
Q96A33,CCD47_HUMAN,PAT complex subunit CCDC47 (Calumin) (Coiled-coil domain-containing protein 47),CCDC47 GK001 MSTP041 PSEC0077
Q96A65,EXOC4_HUMAN,Exocyst complex component 4 (Exocyst complex component Sec8),EXOC4 KIAA1699 SEC8 SEC8L1
Q96AA3,RFT1_HUMAN,Protein RFT1 homolog,RFT1
Q96AB3,ISOC2_HUMAN,Isochorismatase domain-containing protein 2,ISOC2
Q96AE4,FUBP1_HUMAN,Far upstream element-binding protein 1 (FBP) (FUSE-binding protein 1) (DNA helicase V) (hDH V),FUBP1
Q96AG4,LRC59_HUMAN,"Leucine-rich repeat-containing protein 59 (Ribosome-binding protein p34) (p34) [Cleaved into: Leucine-rich repeat-containing protein 59, N-terminally processed]",LRRC59 PRO1855
Q96AX1,VP33A_HUMAN,Vacuolar protein sorting-associated protein 33A (hVPS33A),VPS33A
Q96AX2,RAB37_HUMAN,Ras-related protein Rab-37,RAB37
Q96B97,SH3K1_HUMAN,SH3 domain-containing kinase-binding protein 1 (CD2-binding protein 3) (CD2BP3) (Cbl-interacting protein of 85 kDa) (Human Src family kinase-binding protein 1) (HSB-1),SH3KBP1 CIN85
Q96BM9,ARL8A_HUMAN,ADP-ribosylation factor-like protein 8A (ADP-ribosylation factor-like protein 10B) (Novel small G protein indispensable for equal chromosome segregation 2),ARL8A ARL10B GIE2
Q96BN8,OTUL_HUMAN,Ubiquitin thioesterase otulin (EC 3.4.19.12) (Deubiquitinating enzyme otulin) (OTU domain-containing deubiquitinase with linear linkage specificity) (Ubiquitin thioesterase Gumby),OTULIN FAM105B
Q96BX8,MOB3A_HUMAN,MOB kinase activator 3A (MOB-LAK) (Mob1 homolog 2A) (Mps one binder kinase activator-like 2A),MOB3A MOBKL2A
Q96C10,DHX58_HUMAN,ATP-dependent RNA helicase DHX58 (EC 3.6.4.13) (ATP-dependent helicase LGP2) (Protein D11Lgp2 homolog) (RIG-I-like receptor 3) (RLR-3) (RIG-I-like receptor LGP2) (RLR),DHX58 D11LGP2E LGP2
Q96C19,EFHD2_HUMAN,EF-hand domain-containing protein D2 (Swiprosin-1),EFHD2 SWS1
Q96C23,GALM_HUMAN,Galactose mutarotase (EC 5.1.3.3) (Aldose 1-epimerase),GALM BLOCK25
Q96C86,DCPS_HUMAN,m7GpppX diphosphatase (EC 3.6.1.59) (DCS-1) (Decapping scavenger enzyme) (Hint-related 7meGMP-directed hydrolase) (Histidine triad nucleotide-binding protein 5) (Histidine triad protein member 5) (HINT-5) (Scavenger mRNA-decapping enzyme DcpS),DCPS DCS1 HINT5 HSPC015
Q96C90,PP14B_HUMAN,Protein phosphatase 1 regulatory subunit 14B (Phospholipase C-beta-3 neighbouring gene protein),PPP1R14B PLCB3N PNG
Q96CM8,ACSF2_HUMAN,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial (EC 6.2.1.2)",ACSF2 UNQ493/PRO1009
Q96CN7,ISOC1_HUMAN,Isochorismatase domain-containing protein 1,ISOC1 CGI-111
Q96CW1,AP2M1_HUMAN,AP-2 complex subunit mu (AP-2 mu chain) (Adaptin-mu2) (Adaptor protein complex AP-2 subunit mu) (Adaptor-related protein complex 2 subunit mu) (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (HA2 50 kDa subunit) (Plasma membrane adaptor AP-2 50 kDa protein),AP2M1 CLAPM1 KIAA0109
Q96CX2,KCD12_HUMAN,BTB/POZ domain-containing protein KCTD12 (Pfetin) (Predominantly fetal expressed T1 domain),KCTD12 C13orf2 KIAA1778 PFET1
Q96D46,NMD3_HUMAN,60S ribosomal export protein NMD3 (hNMD3),NMD3 CGI-07
Q96DA6,TIM14_HUMAN,Mitochondrial import inner membrane translocase subunit TIM14 (DnaJ homolog subfamily C member 19),DNAJC19 TIM14 TIMM14
Q96DB5,RMD1_HUMAN,Regulator of microtubule dynamics protein 1 (RMD-1) (hRMD-1) (Protein FAM82B),RMDN1 FAM82B CGI-90
Q96DE0,NUD16_HUMAN,U8 snoRNA-decapping enzyme (EC 3.6.1.62) (IDP phosphatase) (IDPase) (EC 3.6.1.64) (Inosine diphosphate phosphatase) (Nucleoside diphosphate-linked moiety X motif 16) (Nudix motif 16) (Nudix hydrolase 16) (U8 snoRNA-binding protein H29K) (m7GpppN-mRNA hydrolase),NUDT16
Q96DI7,SNR40_HUMAN,U5 small nuclear ribonucleoprotein 40 kDa protein (U5 snRNP 40 kDa protein) (U5-40K) (38 kDa-splicing factor) (Prp8-binding protein) (hPRP8BP) (U5 snRNP-specific 40 kDa protein) (WD repeat-containing protein 57),SNRNP40 PRP8BP SFP38 WDR57
